ds,yhat,yhat_lower,yhat_upper
2003-01-06,3147.8062463886813,737.7025336749551,5405.342113615573
2003-01-09,3327.792656166196,991.0551848351631,5604.652158624183
2003-01-10,3298.992832715797,1061.1782635607872,5780.732044359551
2003-01-29,3396.072859319478,1066.7017616519963,5523.637801319738
2003-01-31,3582.8875062253983,1255.7602172526645,5906.654012591799
2003-02-11,3614.473167950022,1194.0811943693695,6049.574038223648
2003-02-17,3298.883782964844,1103.176994019516,5570.355452779412
2003-02-24,3254.605023224796,770.9933250667623,5519.868525911983
2003-03-03,3333.601844713221,1069.8553235335894,5606.662212510733
2003-03-10,3434.289179648798,1059.5673906863044,5912.216347499873
2003-03-18,3635.9300264048784,1313.2899480683523,5969.747913326548
2003-03-24,3343.1292399639456,922.5556721194855,5645.080900950519
2003-03-25,3550.728574989898,1313.3270480655722,5795.081714370681
2003-03-26,3315.395849245947,958.4477775094341,5559.053715506798
2003-04-01,3577.0627577499836,1098.8230988601906,5863.151536355861
2003-04-04,3581.1073740049924,1439.1780034738774,5912.927842189152
2003-04-11,3838.29247264185,1519.2613174506503,5991.852009869453
2003-04-16,3829.976694470653,1478.493433028423,6100.439114609528
2003-04-21,3868.7391252654616,1587.140467775437,6263.1685637693045
2003-04-28,3671.216215002533,1278.2521614376506,5867.4783406298875
2003-04-29,3845.560163751426,1239.9149704045556,6005.286821694254
2003-05-07,3308.3367835891786,1030.2491431690064,5536.324061975177
2003-05-08,3475.9973069703146,1066.0127580991177,5834.523431259015
2003-05-20,3625.7280361733483,1363.0252653782916,5926.972122343248
2003-05-21,3423.410872279101,1058.6038486172406,5836.715925729556
2003-05-28,3530.182302881415,1062.6103203010668,5806.078539681222
2003-06-03,3664.5519466248265,1403.6089209748277,6011.928897668546
2003-06-06,3493.225569334963,1106.4142046736497,5907.703412595927
2003-06-12,3304.25063283737,938.887708747209,5710.3094108762
2003-06-16,3043.0045922709787,538.8400161978379,5337.387874240794
2003-06-27,3423.9549356340517,1120.741033008189,5930.710182246154
2003-07-01,3665.758074884445,1355.849903461587,6039.517210657397
2003-07-02,3477.6139202903723,1114.1824144663838,5743.037206620697
2003-07-04,3708.6105258748476,1366.9886588187421,6230.823931778027
2003-07-10,3841.40059978539,1198.4458809902267,6138.7980717804485
2003-07-16,3574.1981289517626,1317.1253746420668,5964.591670934851
2003-07-24,3537.5519055091177,1278.5533279845233,5868.815904160998
2003-08-01,3377.5711727256776,1161.3966282398655,5783.810210852244
2003-08-08,3382.4902055083835,1098.9554019192058,5935.537797043033
2003-08-10,3265.3942877407185,970.6275689561265,5509.850808077518
2003-08-13,3242.7041740281165,806.7076795674908,5541.302048045383
2003-08-25,3242.7308927163103,863.2203750944906,5510.355998563908
2003-09-03,3255.0452124881754,850.668159287779,5574.757482225723
2003-09-05,3430.083256939243,1195.2358007063644,5659.666567502281
2003-09-11,3508.2705283110818,1151.2027432704806,5946.996637884175
2003-09-12,3484.181294733918,1203.4640421370768,5636.15544533878
2003-09-19,3496.517461681726,1019.0813456462417,5827.914643038036
2003-09-21,3364.462137406845,1043.2758218745626,5826.946615606774
2003-09-25,3503.636936867845,1173.453375223613,6007.491142539428
2003-09-28,3337.4823565753322,1155.3957096284762,5725.538736729344
2003-10-02,3495.966512503701,1158.6076965637283,5892.51935624198
2003-10-04,3290.6141854197163,943.5049714118113,5643.1048022769255
2003-10-05,3356.478236374101,930.380765266835,5870.973386131299
2003-10-06,3342.354670679076,1050.2446952384832,5855.081424546193
2003-10-08,3351.527970908677,1036.6491280910138,5854.980393448003
2003-10-10,3535.1037112275994,977.5864143431021,5863.1593683410365
2003-10-11,3362.652953869354,972.8276325089486,5513.173317162788
2003-10-17,3610.703790214519,1418.605962678455,5883.572824911523
2003-10-18,3431.9937161174335,870.3255374908252,5788.948485609894
2003-10-20,3474.76684871071,1138.8034724998527,5856.76787821245
2003-10-21,3692.139892428181,1315.7652973655418,6263.435352728649
2003-10-22,3462.0820381967633,1171.2683061005596,5850.838482042788
2003-10-23,3648.576951055989,1247.9958078471798,6018.692256987267
2003-10-28,3643.5189691103865,1326.1172749552707,5976.322442751911
2003-11-04,3565.151942047125,1266.1384300464517,5857.535309630628
2003-11-05,3329.4959368433033,732.7802274621547,5545.316844017558
2003-11-06,3514.147798881808,1160.8140999484947,6066.4464950691745
2003-11-07,3480.2195911936446,1287.653011984668,6012.454682361213
2003-11-08,3293.7878442525976,1039.745329126062,5651.4008163056715
2003-11-11,3554.579187349965,1339.7545943243647,6018.875652652269
2003-11-12,3332.653903102562,1023.1135740384644,5710.931232532539
2003-11-13,3530.949087895939,1179.4146329764355,5764.0327006355865
2003-11-14,3510.1791401801324,1054.9083495436573,5852.693144109095
2003-11-18,3625.019375382431,1280.3903662610974,5982.980226822283
2003-11-19,3408.65789826402,1140.2606054214884,5674.064039321906
2003-11-20,3610.2588736227876,1308.1984123151285,6192.148608035072
2003-11-21,3590.4234058263974,1241.4739579369545,5803.187537590088
2003-11-25,3685.3510782393896,1379.1777860709462,5971.144057337675
2003-11-26,3458.686452055009,1119.6496236967755,5790.750318953454
2003-11-27,3648.2980773466284,1358.8531540341605,6142.056258117752
2003-12-01,3444.3336663089863,1016.7269718364113,5703.705018157725
2003-12-02,3650.017711986658,1308.7634328411655,6059.371828801672
2003-12-03,3408.6389081886227,1153.073422953093,5711.8757131092925
2003-12-05,3538.5596148640284,1119.0418886406105,5953.284739373838
2003-12-09,3540.233296908216,1124.7316989136273,5908.36101499492
2004-01-02,3393.6540869390064,1001.1179791209923,5839.378499046106
2004-01-09,3395.2035775831323,906.1783548352831,5641.1653471499985
2004-01-12,3253.125073999564,989.5642930404242,5568.406528467715
2004-01-15,3450.107184997472,1011.6139493609402,5790.075183121473
2004-01-16,3429.0306243084246,1140.0260343933846,5612.994037485638
2004-01-22,3548.0800490411298,1306.8638666440092,5725.334146833827
2004-01-26,3446.8312327531853,1205.839590101068,5890.540509511721
2004-01-29,3679.273279224772,1363.5985495245368,5870.8365934584
2004-02-02,3546.7564738150268,1160.659605617638,5844.314397667904
2004-02-04,3543.2814628855376,1234.7157304968036,5907.564484327781
2004-02-10,3729.2734597424324,1406.2234412433038,5982.506060660198
2004-02-12,3660.4707710231264,1073.1368109814528,6132.4400961838655
2004-02-18,3373.174098899218,1171.1225339338976,5637.063120321154
2004-02-19,3551.2716184066053,1056.811894686795,6013.533935133582
2004-02-20,3511.0756579875024,1163.6048099470868,5775.416206425776
2004-02-21,3318.836071815481,818.2937615675622,5551.96645760898
2004-02-22,3372.885671160781,994.6630228535915,5687.207644700099
2004-02-26,3538.8375439384904,1065.1702265257427,5975.960838594047
2004-03-02,3641.7086290255015,1406.4300409238278,6096.113094264543
2004-03-10,3523.5430699734793,1180.3076296503355,5928.716560892017
2004-03-11,3719.094012941971,1226.1207423151484,6181.203275708905
2004-03-15,3533.940517892194,1222.6943405378029,5795.847477567956
2004-03-19,3640.222561687927,1150.5213869587294,5888.144775109726
2004-03-20,3441.9604229085116,1167.469516546118,5928.590104831017
2004-03-29,3424.0770324169494,1143.6838984147244,5762.468442387698
2004-04-02,3640.1545702440126,1282.4057549764889,5976.399933976003
2004-04-03,3482.408327324933,1243.9172058143959,5855.375543037749
2004-04-05,3582.787241911159,1158.401419569765,5912.753415288481
2004-04-09,3883.3786600982235,1510.9699981329093,6234.545940277363
2004-04-12,3845.3307868830484,1500.658595463609,6039.076776014291
2004-04-13,4094.273515736269,1862.9560837678898,6473.036021509455
2004-04-20,4180.6454762219855,1976.4173930704721,6637.976701013177
2004-04-26,3813.829839007183,1427.2775036306307,6122.39371137601
2004-04-29,3866.6809709875492,1604.1628798054771,6193.75497601407
2004-05-04,3697.026019028496,1248.4094906995203,6035.731566244875
2004-05-05,3435.391743657309,1172.7358117659553,5819.560567864917
2004-05-07,3542.536177810839,1349.9903974541253,5925.9443159867
2004-05-08,3339.1384500075105,1049.716901958974,5581.804935415731
2004-05-11,3570.4402271471804,1245.9610605727778,5900.261854214289
2004-05-18,3684.055082678495,1335.3403768718174,5988.638211584391
2004-05-26,3616.8166452974892,1178.0504558319453,5865.577799050218
2004-06-01,3788.9523846802495,1343.6144274346136,6075.455724172498
2004-06-04,3629.1737147019785,1204.9425779377095,5961.5818098196105
2004-06-08,3545.66616100024,1134.0206990375855,5897.3822433918
2004-06-14,3149.396407929281,728.5725081848251,5488.062549365111
2004-06-15,3352.321576322828,1085.6141959217898,5742.270319282935
2004-06-17,3303.8431502570015,1010.5304565010986,5712.221991197174
2004-06-24,3451.7547093026087,1032.3740463834224,5626.6276028580005
2004-06-28,3440.774919976202,1173.4484846005935,5919.630352793603
2004-06-30,3515.8689773910796,1157.6993446941121,5820.3678286070835
2004-07-02,3754.571206048253,1359.840620409741,6099.160420453395
2004-07-06,3935.6054190539116,1485.7745043857872,6342.9544068254045
2004-07-07,3723.268867713796,1197.7814661050304,6116.516231886955
2004-07-16,3803.230507479565,1325.5872896068463,6133.931761596927
2004-07-19,3568.960737491884,1082.5642691776247,5877.222520105548
2004-07-20,3756.0195870780954,1335.6490581215382,6012.068267594903
2004-07-21,3497.9711214288022,1131.1701197949708,5857.181122071026
2004-07-23,3601.5012543185517,1339.4985872294776,6166.4671142015895
2004-08-02,3309.8260957915063,1034.2371829587617,5605.797700206472
2004-08-04,3298.727503623355,1178.9749837982565,5864.898267897295
2004-08-06,3464.2481861290025,1022.4924594297412,5874.43160740014
2004-08-09,3328.4349870993524,1097.786351710107,5773.466572745575
2004-08-17,3561.2808103743523,1129.766277069733,6143.274267962658
2004-08-19,3519.764423043708,1186.2279700620484,5767.767076322451
2004-08-20,3487.1222451941044,1141.9231002126235,5820.211663089575
2004-08-21,3299.75231712022,1068.0090095431074,5735.808169880011
2004-08-27,3475.997501059378,1182.5809891617819,5880.081338299837
2004-08-28,3292.3836390488427,1102.568353921727,5612.290673210539
